,oficina,tienda 1,tienda 2,tienda 3,tienda 4,tienda 5,tienda 6,tienda 7,tienda 8,tienda 9,tienda 10,tienda 11,tienda 12,tienda 13,tienda 14,tienda 15,tienda 16,tienda 17,tienda 18,tienda 19,tienda 20,tienda 21,tienda 22,tienda 23,tienda 24,tienda 25,tienda 26,tienda 27,tienda 28,tienda 29,tienda 30
tienda 10,0.32,0.11,0.3,0.26,0.43,0.4,0.63,0.14,0.11,0.47,0.0,0.09,0.18,0.4,0.2,0.21,0.18,0.29,0.19,0.32,0.36,0.39,0.32,0.55,0.5,0.41,0.59,0.62,0.09,0.24,0.49
tienda 11,0.25,0.17,0.24,0.18,0.34,0.36,0.56,0.09,0.04,0.39,0.09,0.0,0.1,0.32,0.12,0.16,0.15,0.21,0.13,0.23,0.27,0.31,0.24,0.49,0.44,0.34,0.5,0.55,0.08,0.18,0.41
tienda 12,0.16,0.21,0.22,0.15,0.25,0.33,0.47,0.11,0.07,0.3,0.18,0.1,0.0,0.25,0.08,0.13,0.15,0.14,0.14,0.16,0.24,0.21,0.14,0.44,0.37,0.25,0.41,0.46,0.17,0.19,0.31
tienda 13,0.29,0.45,0.4,0.17,0.17,0.52,0.52,0.35,0.32,0.3,0.4,0.32,0.25,0.0,0.2,0.34,0.38,0.11,0.24,0.17,0.08,0.23,0.23,0.55,0.43,0.32,0.35,0.45,0.33,0.2,0.28
tienda 14,0.18,0.28,0.24,0.06,0.25,0.36,0.49,0.19,0.15,0.32,0.2,0.12,0.08,0.2,0.0,0.19,0.22,0.09,0.13,0.14,0.16,0.23,0.16,0.46,0.39,0.27,0.42,0.48,0.17,0.14,0.33
tienda 15,0.13,0.2,0.1,0.25,0.31,0.22,0.43,0.08,0.11,0.29,0.21,0.16,0.13,0.34,0.19,0.0,0.05,0.23,0.26,0.24,0.34,0.25,0.17,0.35,0.3,0.2,0.45,0.42,0.21,0.3,0.32
tienda 16,0.18,0.15,0.14,0.29,0.36,0.22,0.47,0.07,0.12,0.34,0.18,0.15,0.15,0.38,0.22,0.05,0.0,0.27,0.27,0.28,0.38,0.29,0.22,0.38,0.34,0.25,0.5,0.46,0.19,0.32,0.37
tienda 17,0.19,0.34,0.28,0.1,0.19,0.4,0.47,0.23,0.21,0.29,0.29,0.21,0.14,0.11,0.09,0.23,0.27,0.0,0.18,0.1,0.11,0.2,0.15,0.47,0.38,0.25,0.38,0.45,0.23,0.18,0.29
tienda 18,0.3,0.29,0.35,0.08,0.33,0.47,0.61,0.2,0.16,0.43,0.19,0.13,0.14,0.24,0.13,0.26,0.27,0.18,0.0,0.24,0.19,0.35,0.28,0.58,0.51,0.39,0.52,0.59,0.11,0.06,0.43
tienda 19,0.15,0.35,0.27,0.17,0.11,0.39,0.39,0.24,0.23,0.2,0.32,0.23,0.16,0.17,0.14,0.24,0.28,0.1,0.24,0.0,0.2,0.11,0.08,0.39,0.3,0.16,0.29,0.36,0.3,0.25,0.19
tienda 20,0.3,0.44,0.39,0.12,0.24,0.51,0.57,0.34,0.3,0.36,0.36,0.27,0.24,0.08,0.16,0.34,0.38,0.11,0.19,0.2,0.0,0.28,0.26,0.58,0.48,0.35,0.41,0.51,0.29,0.14,0.35
tienda 21,0.14,0.39,0.24,0.27,0.08,0.36,0.3,0.27,0.27,0.09,0.39,0.31,0.21,0.23,0.23,0.25,0.29,0.2,0.35,0.11,0.28,0.0,0.1,0.36,0.22,0.12,0.22,0.25,0.38,0.35,0.11
tienda 22,0.07,0.32,0.19,0.22,0.16,0.31,0.34,0.2,0.2,0.18,0.32,0.24,0.14,0.23,0.16,0.17,0.22,0.15,0.28,0.08,0.26,0.1,0.0,0.33,0.25,0.12,0.3,0.33,0.31,0.3,0.2
tienda 23,0.28,0.53,0.27,0.52,0.41,0.27,0.18,0.42,0.45,0.3,0.55,0.49,0.44,0.55,0.46,0.35,0.38,0.47,0.58,0.39,0.58,0.36,0.33,0.0,0.15,0.24,0.33,0.24,0.55,0.6,0.38
tienda 24,0.21,0.48,0.22,0.45,0.28,0.23,0.14,0.37,0.4,0.15,0.5,0.44,0.37,0.43,0.39,0.3,0.34,0.38,0.51,0.3,0.48,0.22,0.25,0.15,0.0,0.13,0.19,0.14,0.5,0.53,0.23
tienda 25,0.09,0.4,0.15,0.32,0.18,0.26,0.22,0.28,0.3,0.1,0.41,0.34,0.25,0.32,0.27,0.2,0.25,0.25,0.39,0.16,0.35,0.12,0.12,0.24,0.13,0.0,0.25,0.22,0.4,0.4,0.17
tienda 26,0.34,0.59,0.39,0.44,0.19,0.42,0.19,0.48,0.47,0.18,0.59,0.5,0.41,0.35,0.42,0.45,0.5,0.38,0.52,0.29,0.41,0.22,0.3,0.33,0.19,0.25,0.0,0.1,0.58,0.52,0.13
tienda 27,0.31,0.61,0.36,0.51,0.3,0.37,0.08,0.49,0.51,0.18,0.62,0.55,0.46,0.45,0.48,0.42,0.46,0.45,0.59,0.36,0.51,0.25,0.33,0.24,0.14,0.22,0.1,0.0,0.62,0.59,0.23
tienda 28,0.31,0.18,0.3,0.18,0.4,0.41,0.63,0.14,0.11,0.47,0.09,0.08,0.17,0.33,0.17,0.21,0.19,0.23,0.11,0.3,0.29,0.38,0.31,0.55,0.5,0.4,0.58,0.62,0.0,0.15,0.48
tienda 29,0.32,0.32,0.38,0.08,0.32,0.5,0.62,0.25,0.21,0.43,0.24,0.18,0.19,0.2,0.14,0.3,0.32,0.18,0.06,0.25,0.14,0.35,0.3,0.6,0.53,0.4,0.52,0.59,0.15,0.0,0.43
tienda 30,0.22,0.5,0.3,0.35,0.11,0.42,0.31,0.38,0.38,0.11,0.49,0.41,0.31,0.28,0.33,0.32,0.37,0.29,0.43,0.19,0.35,0.11,0.2,0.38,0.23,0.17,0.13,0.23,0.48,0.43,0.0
