,oficina,tienda 1,tienda 2,tienda 3,tienda 4,tienda 5,tienda 6,tienda 7,tienda 8,tienda 9,tienda 10,tienda 11,tienda 12,tienda 13,tienda 14,tienda 15,tienda 16,tienda 17,tienda 18,tienda 19,tienda 20,tienda 21,tienda 22,tienda 23,tienda 24,tienda 25,tienda 26,tienda 27,tienda 28,tienda 29,tienda 30
tienda 10,1.34,0.45,1.27,1.09,1.79,1.67,2.65,0.57,0.48,1.99,0.0,0.37,0.76,1.68,0.86,0.9,0.75,1.22,0.81,1.34,1.5,1.62,1.33,2.3,2.11,1.71,2.46,2.62,0.38,0.99,2.06
tienda 11,1.03,0.72,1.02,0.76,1.42,1.49,2.35,0.36,0.18,1.66,0.37,0.0,0.4,1.33,0.49,0.65,0.64,0.86,0.53,0.97,1.15,1.28,0.99,2.06,1.86,1.41,2.1,2.32,0.34,0.74,1.7
tienda 12,0.66,0.86,0.91,0.62,1.05,1.4,1.98,0.47,0.28,1.25,0.76,0.4,0.0,1.06,0.35,0.53,0.63,0.59,0.6,0.68,1.01,0.88,0.59,1.82,1.55,1.04,1.7,1.93,0.73,0.78,1.3
tienda 13,1.21,1.89,1.65,0.69,0.71,2.13,2.16,1.45,1.34,1.26,1.68,1.33,1.06,0.0,0.83,1.44,1.6,0.47,1.02,0.72,0.32,0.97,0.96,2.31,1.81,1.35,1.45,1.86,1.38,0.82,1.16
tienda 14,0.76,1.19,1.01,0.27,1.05,1.49,2.07,0.79,0.61,1.33,0.86,0.49,0.35,0.83,0.0,0.77,0.94,0.37,0.55,0.6,0.66,0.96,0.66,1.91,1.65,1.13,1.77,2.0,0.71,0.59,1.37
tienda 15,0.54,0.82,0.44,1.04,1.31,0.91,1.79,0.35,0.48,1.22,0.9,0.65,0.53,1.44,0.77,0.0,0.2,0.97,1.09,1.01,1.41,1.03,0.73,1.47,1.28,0.85,1.9,1.76,0.9,1.27,1.34
tienda 16,0.74,0.62,0.57,1.2,1.51,0.94,1.98,0.28,0.49,1.42,0.75,0.64,0.63,1.6,0.94,0.2,0.0,1.13,1.12,1.17,1.58,1.24,0.92,1.6,1.41,1.05,2.09,1.95,0.79,1.33,1.54
tienda 17,0.82,1.42,1.18,0.43,0.79,1.67,1.98,0.98,0.87,1.21,1.22,0.86,0.59,0.47,0.37,0.97,1.13,0.0,0.75,0.42,0.45,0.86,0.62,1.97,1.6,1.04,1.59,1.89,0.98,0.76,1.2
tienda 18,1.27,1.2,1.48,0.32,1.37,1.96,2.58,0.84,0.66,1.8,0.81,0.53,0.6,1.02,0.55,1.09,1.12,0.75,0.0,1.02,0.81,1.46,1.19,2.42,2.15,1.64,2.17,2.47,0.45,0.25,1.79
tienda 19,0.64,1.46,1.13,0.72,0.45,1.62,1.63,1.02,0.96,0.83,1.34,0.97,0.68,0.72,0.6,1.01,1.17,0.42,1.02,0.0,0.83,0.47,0.34,1.65,1.26,0.69,1.2,1.5,1.24,1.05,0.82
tienda 20,1.26,1.85,1.63,0.49,0.99,2.11,2.38,1.42,1.27,1.48,1.5,1.15,1.01,0.32,0.66,1.41,1.58,0.45,0.81,0.83,0.0,1.16,1.06,2.42,2.02,1.46,1.72,2.14,1.19,0.57,1.44
tienda 21,0.6,1.63,1.02,1.15,0.33,1.51,1.26,1.15,1.14,0.37,1.62,1.28,0.88,0.97,0.96,1.03,1.24,0.86,1.46,0.47,1.16,0.0,0.4,1.49,0.92,0.51,0.91,1.05,1.59,1.48,0.45
tienda 22,0.31,1.34,0.81,0.92,0.67,1.3,1.43,0.86,0.85,0.77,1.33,0.99,0.59,0.96,0.66,0.73,0.92,0.62,1.19,0.34,1.06,0.4,0.0,1.37,1.05,0.49,1.28,1.4,1.3,1.25,0.84
tienda 23,1.17,2.22,1.14,2.18,1.74,1.15,0.77,1.76,1.88,1.24,2.3,2.06,1.82,2.31,1.91,1.47,1.6,1.97,2.42,1.65,2.42,1.49,1.37,0.0,0.63,1.02,1.36,1.0,2.31,2.51,1.58
tienda 24,0.9,2.03,0.94,1.91,1.17,0.96,0.6,1.56,1.69,0.61,2.11,1.86,1.55,1.81,1.65,1.28,1.41,1.6,2.15,1.26,2.02,0.92,1.05,0.63,0.0,0.57,0.8,0.57,2.11,2.24,0.96
tienda 25,0.38,1.66,0.62,1.34,0.75,1.11,0.94,1.17,1.24,0.43,1.71,1.41,1.04,1.35,1.13,0.85,1.05,1.04,1.64,0.69,1.46,0.51,0.49,1.02,0.57,0.0,1.04,0.91,1.69,1.67,0.73
tienda 26,1.42,2.48,1.64,1.85,0.82,1.75,0.79,2.03,1.98,0.77,2.46,2.1,1.7,1.45,1.77,1.9,2.09,1.59,2.17,1.2,1.72,0.91,1.28,1.36,0.8,1.04,0.0,0.44,2.43,2.16,0.56
tienda 27,1.28,2.57,1.51,2.15,1.24,1.52,0.35,2.08,2.14,0.74,2.62,2.32,1.93,1.86,2.0,1.76,1.95,1.89,2.47,1.5,2.14,1.05,1.4,1.0,0.57,0.91,0.44,0.0,2.59,2.48,0.98
tienda 28,1.31,0.77,1.27,0.74,1.67,1.71,2.62,0.57,0.45,1.96,0.38,0.34,0.73,1.38,0.71,0.9,0.79,0.98,0.45,1.24,1.19,1.59,1.3,2.31,2.11,1.69,2.43,2.59,0.0,0.64,2.03
tienda 29,1.35,1.35,1.6,0.35,1.34,2.08,2.61,1.05,0.87,1.81,0.99,0.74,0.78,0.82,0.59,1.27,1.33,0.76,0.25,1.05,0.57,1.48,1.25,2.51,2.24,1.67,2.16,2.48,0.64,0.0,1.8
tienda 30,0.91,2.08,1.27,1.47,0.45,1.75,1.29,1.59,1.58,0.48,2.06,1.7,1.3,1.16,1.37,1.34,1.54,1.2,1.79,0.82,1.44,0.45,0.84,1.58,0.96,0.73,0.56,0.98,2.03,1.8,0.0
